shard,source_file,inputs.cta_delta_c0_m,inputs.cta_delta_c3_m,inputs.cta_delta_c5_m,inputs.cta_taper_ratio_midwing,inputs.cta_rspan_midwing,inputs.cta_span_wing_m,inputs.cta_sweep_midwing_deg,inputs.cta_sweep_outwing_deg,inputs.cta_twist_s4_deg,inputs.cta_twist_s4a_deg,inputs.cta_twist_s4b_deg,inputs.cta_twist_s5_deg,inputs.cta_thickness_s4,inputs.cta_thickness_s5,outputs.cta_all_boxes_fit,outputs.cta_box_01_payload_cabin_floor_clearance_volume_m3,outputs.cta_box_01_payload_cabin_floor_fits,outputs.cta_box_01_payload_cabin_floor_footprint_area_m2,outputs.cta_box_01_payload_cabin_floor_margin_m,outputs.cta_box_02_payload_door_ceiling_clearance_volume_m3,outputs.cta_box_02_payload_door_ceiling_fits,outputs.cta_box_02_payload_door_ceiling_footprint_area_m2,outputs.cta_box_02_payload_door_ceiling_margin_m,outputs.cta_box_03_payload_cabin_aisle_ceiling_clearance_volume_m3,outputs.cta_box_03_payload_cabin_aisle_ceiling_fits,outputs.cta_box_03_payload_cabin_aisle_ceiling_footprint_area_m2,outputs.cta_box_03_payload_cabin_aisle_ceiling_margin_m,outputs.cta_box_04_payload_cabin_seat_ceiling_clearance_volume_m3,outputs.cta_box_04_payload_cabin_seat_ceiling_fits,outputs.cta_box_04_payload_cabin_seat_ceiling_footprint_area_m2,outputs.cta_box_04_payload_cabin_seat_ceiling_margin_m,outputs.cta_box_05_payload_cargo_1_floor_clearance_volume_m3,outputs.cta_box_05_payload_cargo_1_floor_fits,outputs.cta_box_05_payload_cargo_1_floor_footprint_area_m2,outputs.cta_box_05_payload_cargo_1_floor_margin_m,outputs.cta_box_06_payload_cargo_2_floor_clearance_volume_m3,outputs.cta_box_06_payload_cargo_2_floor_fits,outputs.cta_box_06_payload_cargo_2_floor_footprint_area_m2,outputs.cta_box_06_payload_cargo_2_floor_margin_m,outputs.cta_box_07_payload_cargo_2_ceiling_clearance_volume_m3,outputs.cta_box_07_payload_cargo_2_ceiling_fits,outputs.cta_box_07_payload_cargo_2_ceiling_footprint_area_m2,outputs.cta_box_07_payload_cargo_2_ceiling_margin_m,outputs.cta_box_08_landinggear_nlg_clearance_volume_m3,outputs.cta_box_08_landinggear_nlg_fits,outputs.cta_box_08_landinggear_nlg_footprint_area_m2,outputs.cta_box_08_landinggear_nlg_margin_m,outputs.cta_box_09_landinggear_mlg_1_clearance_volume_m3,outputs.cta_box_09_landinggear_mlg_1_fits,outputs.cta_box_09_landinggear_mlg_1_footprint_area_m2,outputs.cta_box_09_landinggear_mlg_1_margin_m,outputs.cta_box_10_landinggear_mlg_2_clearance_volume_m3,outputs.cta_box_10_landinggear_mlg_2_fits,outputs.cta_box_10_landinggear_mlg_2_footprint_area_m2,outputs.cta_box_10_landinggear_mlg_2_margin_m,outputs.cta_dust_cd,outputs.cta_dust_cd_induced_full_aircraft,outputs.cta_dust_cd_total_full_aircraft,outputs.cta_dust_cd_wind,outputs.cta_dust_cl,outputs.cta_dust_cl_wind,outputs.cta_dust_cm,outputs.cta_dust_cy,outputs.cta_dust_drag_n,outputs.cta_dust_failure_code,outputs.cta_dust_fx_reference_n,outputs.cta_dust_fy_reference_n,outputs.cta_dust_fz_reference_n,outputs.cta_dust_ld,outputs.cta_dust_ld_full_aircraft,outputs.cta_dust_ld_wind,outputs.cta_dust_lift_n,outputs.cta_dust_mx_reference_nm,outputs.cta_dust_my_reference_nm,outputs.cta_dust_mz_reference_nm,outputs.cta_dust_neuralfoil_full_profile_cd,outputs.cta_dust_side_n,outputs.cta_dust_success,outputs.cta_geometry_failure_code,outputs.cta_internal_boxes_min_margin_m,outputs.cta_packaging_min_margin_m,outputs.cta_packaging_valid,outputs.cta_wing.enclosed_volume_m3,outputs.cta_wing.mean_aerodynamic_chord_m,outputs.cta_wing.planform_area_m2,outputs.cta_wing.root_chord_m,outputs.cta_wing.span_m,outputs.cta_wing.tip_chord_m
shard_00000,/nobackup/c05279/MADS/MADS-main/outputs/CTA_case/datasets/campaign_panel_10k/shards/shard_00000/cta_dust_doe_dataset_flat.csv,-0.4788821025490759,1.5161039169430732,0.806412766687572,0.4580185026861727,0.1538351385295391,33.879145982675254,35.933275474235415,32.87132395431399,1.7079158397316934,-0.1603660705089569,2.3921711974740028,3.869251596599817,0.1104848130792379,0.1097017600852996,0.0,167.1638887664982,0.0,174.61159999999995,-0.2925067995621769,94.09672322728716,0.0,157.8686250000001,-0.5314042118785658,83.93399503549284,0.0,135.12392999999997,-0.1005527962473298,73.83620701230286,0.0,88.58953600000001,-0.4016601353803701,7.327909636891721,0.0,44.634075,-0.5860038028413921,4.550032161019886,1.0,11.34662999999999,0.0294975761738864,2.3620241575062564,0.0,11.34662999999999,-0.048168095894838,0.0491621268842512,0.0,1.091415,-0.064185413578955,-0.6618297784376148,0.0,12.134832000000015,-0.2090486261354742,-4.852391762437621,0.0,12.134832000000015,-0.7887234961226066,0.0177333565758569,0.0023560522325451324,0.008407471425030524,-0.0050150899976666,0.2425476582560724,0.2431433472938675,-0.2876434897353387,-3.590416892379955e-16,131605.412522864,0.0,-131605.412522864,-2.664573366184e-09,1800030.6081198,13.677481599072363,28.919913610409296,-48.48234974985327,1800030.6081198,2.47855099847324e-06,-48663909.9933767,-1.69772587945599e-07,0.006051419192485391,-2.664573366184e-09,1.0,2.0,-0.7887234961226066,-0.7887234961226066,0.0,1934.855319576928,22.7965773324125,880.0666598302861,40.72411789745093,83.840291966,1.6064127666875692
shard_00000,/nobackup/c05279/MADS/MADS-main/outputs/CTA_case/datasets/campaign_panel_10k/shards/shard_00000/cta_dust_doe_dataset_flat.csv,0.5635837779641153,0.551865148499608,0.1812254106625914,0.5800792237278074,0.2020277737826109,30.660872034728527,21.285236282274127,29.518114052712917,-0.282929341316223,2.6717403483986857,1.7961936526894569,2.561235877543687,0.139345630928874,0.0892133899684995,0.0,174.56736552946973,0.0,174.61159999999995,-0.4265605786959863,104.5441369122797,0.0,157.8686250000001,-0.5063315950827953,94.14019591917211,0.0,135.12392999999997,-0.0450415871687557,79.3122094275395,0.0,88.58953600000001,-0.4938730186785696,10.427020976062938,0.0,44.634075,-0.5496673710011568,6.802585172553241,1.0,11.34662999999999,0.2379842341745737,3.812505893967755,1.0,11.34662999999999,0.0932421771692557,0.0759842177855902,0.0,1.091415,-0.0360411012741153,0.8432672634269188,0.0,12.134832000000015,-0.1217056654646655,-3.347294720573088,0.0,12.134832000000015,-0.6540487939994155,0.0181228903771871,0.0032123958021913444,0.009232561200098844,-0.0045338230567768,0.2591761286645165,0.2597694155855139,-0.267212940004009,-4.927421783807258e-16,136937.225165668,0.0,-136937.225165668,-3.7231779934220403e-09,1958344.34518097,14.301037156344783,28.13622460284724,-57.295887451370696,1958344.34518097,4.5868102915847e-07,-47943798.0652402,-8.71742700036564e-08,0.006020165397907499,-3.7231779934220403e-09,1.0,2.0,-0.6540487939994155,-0.6540487939994155,0.0,2061.3614017239756,23.74547657232615,896.0388178084332,41.766583777964115,77.40374407,0.9812254106625886
shard_00000,/nobackup/c05279/MADS/MADS-main/outputs/CTA_case/datasets/campaign_panel_10k/shards/shard_00000/cta_dust_doe_dataset_flat.csv,0.8576630332767965,0.7191248807609081,0.5369392363354564,0.494697282789275,0.1841121461987495,28.19485191255808,39.53434428200126,25.76276040263474,-0.7950906483530997,1.7887962078154087,1.2427201689183711,2.1195569400191308,0.0935982688516378,0.1196727621089667,0.0,178.13462143132844,0.0,174.61159999999995,-0.3492521312835958,108.4741011862774,0.0,157.8686250000001,-0.4855537386605775,97.50237066621251,0.0,135.12392999999997,-0.0012955706527661,82.44353316254494,0.0,88.58953600000001,-0.4177600931517415,11.315974740486704,0.0,44.634075,-0.5395614824410659,7.426083973672815,1.0,11.34662999999999,0.2929407743035177,4.208783380780449,1.0,11.34662999999999,0.1323614238100976,0.0835160368348869,0.0,1.091415,-0.0282105691199718,1.26502592792176,0.0,12.134832000000015,-0.0990396135639786,-2.925536056078246,0.0,12.134832000000015,-0.6126648667051411,0.0179785190230284,0.003645589394429672,0.009655752477748521,-0.0039843192823551,0.2669209050149241,0.2674960221762256,-0.2779374185132173,2.198371937320924e-16,127450.358501354,0.0,-127450.358501354,1.558433657255e-09,1892211.75515532,14.846656983983436,27.703280794807505,-67.13719539517194,1892211.75515532,-2.09134453230252e-06,-49031368.4268041,-1.13203939344246e-07,0.00601016308331885,1.558433657255e-09,1.0,2.0,-0.6126648667051411,-0.6126648667051411,0.0,2017.540484370967,24.88512618678361,840.6590875245212,42.0606630332768,72.471703826,1.3369392363354535
shard_00000,/nobackup/c05279/MADS/MADS-main/outputs/CTA_case/datasets/campaign_panel_10k/shards/shard_00000/cta_dust_doe_dataset_flat.csv,-1.754170166581869,-0.5263645805865527,0.4116364410147071,0.5436942706815898,0.1322072777897119,32.851554977707565,25.121685918420553,35.91806041263044,1.212356199502945,0.7223338772952557,3.709303182452917,4.310320309221744,0.1574724381417036,0.1042443016264587,0.0,155.97315953427287,0.0,174.61159999999995,-0.5232532889672046,77.10526153390727,0.0,157.8686250000001,-0.7690244262167751,70.32052929795604,0.0,135.12392999999997,-0.250381628555465,61.90423901843638,0.0,88.58953600000001,-0.661821649736358,3.4035142594886896,0.0,44.634075,-0.6313195191024232,1.6772993355951549,0.0,11.34662999999999,-0.244395133198487,0.4989812196636104,0.0,11.34662999999999,-0.2321333151468063,0.0158932657070765,0.0,1.091415,-0.0989830797353039,-2.613457225778681,0.0,12.134832000000015,-0.3659313786401508,-6.804019209778686,0.0,12.134832000000015,-0.9759313786401508,0.0162918060250693,0.0019464624328903851,0.008066433045975097,-0.0046471042700465,0.2220724571674794,0.2226207618302115,-0.2428696218461623,8.661229946180258e-16,113383.411363718,0.0,-113383.411363718,6.027814205450131e-09,1545521.27154146,13.630929365704526,27.598414387297552,-47.90526506261991,1545521.27154146,-2.04325112376648e-06,-37465536.0975618,1.46615085278816e-07,0.006119970613084711,6.027814205450131e-09,1.0,2.0,-0.9759313786401508,-0.9759313786401508,0.0,1786.6462866149718,22.16554764395484,825.3022962136828,39.44882983341813,81.785109956,1.2116364410147042
shard_00000,/nobackup/c05279/MADS/MADS-main/outputs/CTA_case/datasets/campaign_panel_10k/shards/shard_00000/cta_dust_doe_dataset_flat.csv,-1.4706051966845988,1.0108218054771425,0.0786988232284784,0.5540371941402554,0.1406286274641752,34.32244830485433,41.533444756641984,23.38781712204218,-1.5086660785675048,3.2626849142313006,0.7471804664433003,5.17244521048665,0.0869021461904049,0.081313588488847,0.0,158.43163745686925,0.0,174.61159999999995,-0.3761740526438188,82.26996735131695,0.0,157.8686250000001,-0.6248838003796411,73.61978293616363,0.0,135.12392999999997,-0.2032220996441671,66.11599949760405,0.0,88.58953600000001,-0.4958753560370417,4.2966480568900485,0.0,44.634075,-0.6211326210683352,2.32644524231127,0.0,11.34662999999999,-0.1828652487457855,0.922451559319436,0.0,11.34662999999999,-0.189946344084289,0.0233187207923483,0.0,1.091415,-0.0911754318258688,-2.1679535632242617,0.0,12.134832000000015,-0.3203205506713094,-6.358515547224269,0.0,12.134832000000015,-0.9303205506713096,36225051.06598193,0.0,0.0,-36744425.39993531,-10872439.299889766,-8961666.312208625,3248378.7471764386,44683575.49122645,269107067046584.0,0.0,-269107067046584.0,331943381492998.0,-80768699160867.3,-0.3001359274852702,0.0,0.2438918615454632,-80768699160867.3,-1953153088464470.0,529352895136450.0,1.68496929825953e+16,0.0,331943381492998.0,1.0,2.0,-0.9303205506713096,-0.9303205506713096,0.0,1830.918998222592,21.936257509333252,880.9451343166697,39.7323948033154,84.72689661,0.8786988232284756
shard_00000,/nobackup/c05279/MADS/MADS-main/outputs/CTA_case/datasets/campaign_panel_10k/shards/shard_00000/cta_dust_doe_dataset_flat.csv,1.5709127911627294,-0.7971561894267798,0.953861465677619,0.5074989039916545,0.1725712613761425,30.227390740066767,26.88357182778418,38.01729952916503,0.4843766065239907,0.2509173554778099,4.213641409665346,1.355700540214777,0.1432774569094181,0.1146734147518873,0.0,180.97033232689685,0.0,174.61159999999995,-0.5459247953242471,114.35205965537816,0.0,157.8686250000001,-0.5299467520813543,103.95028101682476,1.0,135.12392999999997,0.0028929061970619,84.83654986536104,0.0,88.58953600000001,-0.5932938850820522,13.31956212628404,0.0,44.634075,-0.5150827413585284,8.894478707851075,1.0,11.34662999999999,0.4253177420817758,5.161344578915764,1.0,11.34662999999999,0.2242108610219384,0.1016929238495677,0.0,1.091415,-0.009239202197405,2.236523372622975,0.0,12.134832000000015,-0.0407657759444575,-1.9540386113770312,0.0,12.134832000000015,-0.5239748233596089,0.0161693314661494,0.0026635040716400478,0.00872979509796025,-0.0036091589797335,0.2395678588807718,0.2400857768803446,-0.2381453211787622,2.068423881775561e-16,115949.81578904,0.0,-115949.81578904,1.4832608791997302e-09,1717934.29829509,14.816188250102208,27.501879962387843,-66.52125279836541,1717934.29829509,3.00958089653813e-06,-42693819.0985767,2.47218638703219e-07,0.006066291026320201,1.4832608791997302e-09,1.0,2.0,-0.5932938850820522,-0.5932938850820522,0.0,2070.660712024167,25.000284632055536,850.3755474667606,42.77391279116273,76.53678148,1.7538614656907257
shard_00000,/nobackup/c05279/MADS/MADS-main/outputs/CTA_case/datasets/campaign_panel_10k/shards/shard_00000/cta_dust_doe_dataset_flat.csv,-0.149679152548313,1.9952752936184408,0.3247120101004839,0.5908661047462374,0.1910741326957941,29.50678252056241,30.18600605428219,35.2633496876806,1.9965681927204133,1.368217415124178,2.8945428886413573,2.92177294832468,0.1087800978124141,0.0967396014556288,0.0,172.32204974940848,0.0,174.61159999999995,-0.2382678382119051,98.02164383414328,0.0,157.8686250000001,-0.4619649334830269,87.23504825836287,0.0,135.12392999999997,-0.0741674648964219,76.62844371093041,0.0,88.58953600000001,-0.3383251802664402,8.361226249522995,0.0,44.634075,-0.5745138366862614,5.272093053660491,1.0,11.34662999999999,0.0987979509304159,2.825423228677838,0.0,11.34662999999999,-0.0030765704581257,0.0576520966136004,0.0,1.091415,-0.055274267877293,-0.1809160596947239,0.0,12.134832000000015,-0.1840347484576752,-4.371478043694731,0.0,12.134832000000015,-0.7505735163047109,0.0155819139983503,0.002383177519464631,0.008416585548485978,-0.0043380836142156,0.2144314677360219,0.214953091231163,-0.2323619595690195,3.762911374668843e-16,120070.271682555,0.0,-120070.271682555,2.89960393262149e-09,1652354.42777306,13.76156149743376,25.539227278433586,-49.550241615161994,1652354.42777306,1.67771430001483e-06,-41610125.0173331,4.85853414981345e-07,0.006033408029021347,2.89960393262149e-09,1.0,2.0,-0.7505735163047109,-0.7505735163047109,0.0,2033.2732529495593,23.23909974463075,913.7922173197574,41.05332084745169,75.095565042,1.124712010100481
shard_00000,/nobackup/c05279/MADS/MADS-main/outputs/CTA_case/datasets/campaign_panel_10k/shards/shard_00000/cta_dust_doe_dataset_flat.csv,-0.7624567880034445,0.0935479469150304,0.7000357788056135,0.4709621038287878,0.162919262945652,31.53664094861597,15.771519318223,27.40189977176487,-0.0130756823420523,2.145629062265158,1.2986874141693114,3.605762339055538,0.1201397682726383,0.1242462517879903,0.0,165.3090064654306,0.0,174.61159999999995,-0.4751021145094551,89.07203156651812,0.0,157.8686250000001,-0.6497768747025134,80.61107194445283,0.0,135.12392999999997,-0.1603240840392401,69.48306028905291,0.0,88.58953600000001,-0.5676860258005028,6.474741175515238,0.0,44.634075,-0.5960352134221827,3.9228652009648615,0.0,11.34662999999999,-0.0307391167231051,1.956181488741326,0.0,11.34662999999999,-0.0884845330931947,0.0418082129859203,0.0,1.091415,-0.0718669675842478,-1.088884989853081,0.0,12.134832000000015,-0.2336469873070696,-5.279446973853088,0.0,12.134832000000015,-0.8344059112058266,0.018519215726732,0.002669279494158491,0.008703583074170757,-0.0053316631920181,0.2514938779772928,0.2521184352220154,-0.2606715585948151,-1.9627701776890442e-16,129087.545402757,0.0,-129087.545402757,-1.3681420863945102e-09,1753029.27893686,13.580158128093274,28.96720041315125,-47.287014603520625,1753029.27893686,-7.1741526751014e-07,-42168016.9613995,-2.80486780130083e-07,0.006034303580012266,-1.3681420863945102e-09,1.0,2.0,-0.8344059112058266,-0.8344059112058266,0.0,1861.0642065717163,23.207468902492217,826.598316884634,40.440543211996555,79.155281898,1.500035778805611
shard_00000,/nobackup/c05279/MADS/MADS-main/outputs/CTA_case/datasets/campaign_panel_10k/shards/shard_00000/cta_dust_doe_dataset_flat.csv,-1.0095751641988753,0.91157168443501,0.2887694779783487,0.5224440837744624,0.2071703652292489,32.753263022750616,44.22486143186688,22.02328792773187,-1.1571317827403544,0.5974000831544399,1.5508520946800708,3.99119651210308,0.1461757065355777,0.0929528699442744,0.0,162.34617663957928,0.0,174.61159999999995,-0.3727856981711697,87.31406247664616,0.0,157.8686250000001,-0.6054645983763818,78.35430192491503,0.0,135.12392999999997,-0.146997107797187,69.11604309629999,0.0,88.58953600000001,-0.4753284458230129,5.7144464569210704,0.0,44.634075,-0.604783711657217,3.3707449944923766,0.0,11.34662999999999,-0.083563740578946,1.598976336675818,0.0,11.34662999999999,-0.1235886843481648,0.0353731536752577,0.0,1.091415,-0.078565232072759,-1.4607056773344005,0.0,12.134832000000015,-0.2571212748720501,-5.6512676613344075,0.0,12.134832000000015,-0.8671212748720503,0.0210396143274387,0.00425849964078315,0.010299399910453321,-0.0044301899750928,0.3168106877643691,0.3174776380622177,-0.3941199850825449,-5.516608051764249e-16,156762.936860725,0.0,-156762.936860725,-4.1103399817375e-09,2360507.80541349,15.057818210631432,30.82486754786514,-71.66230790262294,2360507.80541349,1.67703307765589e-06,-65831858.6826973,-2.08892580693438e-07,0.006040900269670172,-4.1103399817375e-09,1.0,2.0,-0.8671212748720503,-0.8671212748720503,0.0,1927.2433620455556,22.418267286630964,883.564749685192,40.193424835801125,81.588526046,1.088769477978346
shard_00000,/nobackup/c05279/MADS/MADS-main/outputs/CTA_case/datasets/campaign_panel_10k/shards/shard_00000/cta_dust_doe_dataset_flat.csv,0.0973743588924409,-0.333186081469059,0.6639568265527487,0.5484658341854811,0.1589958891272544,28.754576115868986,29.81028886511922,38.88519616611302,0.8515346506536008,1.4137303297817707,3.142374549895525,2.188795043945312,0.084895000308752,0.1279362777434289,0.0,171.306487423226,0.0,174.61159999999995,-0.4680394959941136,98.57959490339124,0.0,157.8686250000001,-0.6148326994997855,89.40935539124227,0.0,135.12392999999997,-0.102905562765708,75.79664849822153,0.0,88.58953600000001,-0.5845498995558107,9.097010300252268,0.0,44.634075,-0.5658981715212432,5.808671085613953,1.0,11.34662999999999,0.147881149035275,3.169206209803042,1.0,11.34662999999999,0.030780152242994,0.0640074203172744,0.0,1.091415,-0.0485912358896167,0.181877762168355,0.0,12.134832000000015,-0.1627606477539291,-4.008684221831651,0.0,12.134832000000015,-0.7153467303329113,0.0151847891387093,0.0023014966256157633,0.008341728123944868,-0.0038276846149553,0.2166062323454484,0.2171040914919981,-0.2209601625288699,5.262854550835442e-15,106377.898232906,0.0,-106377.898232906,3.68692249006063e-08,1517447.19867844,14.264684900580658,26.026272765807658,-56.719430499509144,1517447.19867844,7.35915310066221e-07,-37274850.3478732,1.18614344132982e-06,0.006040231498329105,3.68692249006063e-08,1.0,2.0,-0.7153467303329113,-0.7153467303329113,0.0,1921.504666953376,24.08015554388546,830.759668819074,41.30037435889244,73.591152232,1.4639568265527458
