inputs.cta_delta_c0_m,inputs.cta_delta_c3_m,inputs.cta_delta_c5_m,inputs.cta_taper_ratio_midwing,inputs.cta_rspan_midwing,inputs.cta_span_wing_m,inputs.cta_sweep_midwing_deg,inputs.cta_sweep_outwing_deg,inputs.cta_twist_s4_deg,inputs.cta_twist_s4a_deg,inputs.cta_twist_s4b_deg,inputs.cta_twist_s5_deg,inputs.cta_thickness_s4,inputs.cta_thickness_s5,outputs.cta_wing.span_m,outputs.cta_wing.planform_area_m2,outputs.cta_wing.enclosed_volume_m3,outputs.cta_wing.root_chord_m,outputs.cta_wing.mean_aerodynamic_chord_m,outputs.cta_wing.tip_chord_m,outputs.cta_dust_success,outputs.cta_dust_cl_wind,outputs.cta_dust_cm,outputs.cta_dust_cd_total_full_aircraft,outputs.cta_dust_neuralfoil_full_profile_cd,outputs.cta_dust_cd_induced_full_aircraft,outputs.cta_dust_ld_full_aircraft,outputs.cta_packaging_min_margin_m,outputs.cta_all_boxes_fit
-0.4788821025490759,1.5161039169430732,0.806412766687572,0.4580185026861727,0.1538351385295391,33.879145982675254,35.933275474235415,32.87132395431399,1.7079158397316934,-0.1603660705089569,2.3921711974740028,3.869251596599817,0.1104848130792379,0.1097017600852996,83.840291966,880.0666598302861,1934.855319576928,40.72411789745093,22.7965773324125,1.6064127666875692,1.0,0.2431433472938675,-0.2876434897353387,0.0084074714250305,0.0060514191924853,0.0023560522325451,28.919913610409296,-0.7887234961226066,0.0
0.5635837779641153,0.551865148499608,0.1812254106625914,0.5800792237278074,0.2020277737826109,30.660872034728527,21.285236282274127,29.518114052712917,-0.282929341316223,2.6717403483986857,1.7961936526894569,2.561235877543687,0.139345630928874,0.0892133899684995,77.40374407,896.0388178084332,2061.3614017239756,41.766583777964115,23.74547657232615,0.9812254106625886,1.0,0.2597694155855139,-0.267212940004009,0.0092325612000988,0.0060201653979074,0.0032123958021913,28.13622460284724,-0.6540487939994155,0.0
0.8576630332767965,0.7191248807609081,0.5369392363354564,0.494697282789275,0.1841121461987495,28.19485191255808,39.53434428200126,25.76276040263474,-0.7950906483530997,1.7887962078154087,1.2427201689183711,2.1195569400191308,0.0935982688516378,0.1196727621089667,72.471703826,840.6590875245212,2017.540484370967,42.0606630332768,24.88512618678361,1.3369392363354535,1.0,0.2674960221762256,-0.2779374185132173,0.0096557524777485,0.0060101630833188,0.0036455893944296,27.703280794807505,-0.6126648667051411,0.0
-1.754170166581869,-0.5263645805865527,0.4116364410147071,0.5436942706815898,0.1322072777897119,32.851554977707565,25.121685918420553,35.91806041263044,1.212356199502945,0.7223338772952557,3.709303182452917,4.310320309221744,0.1574724381417036,0.1042443016264587,81.785109956,825.3022962136828,1786.6462866149718,39.44882983341813,22.16554764395484,1.2116364410147042,1.0,0.2226207618302115,-0.2428696218461623,0.008066433045975,0.0061199706130847,0.0019464624328903,27.598414387297552,-0.9759313786401508,0.0
-1.4706051966845988,1.0108218054771425,0.0786988232284784,0.5540371941402554,0.1406286274641752,34.32244830485433,41.533444756641984,23.38781712204218,-1.5086660785675048,3.2626849142313006,0.7471804664433003,5.17244521048665,0.0869021461904049,0.081313588488847,84.72689661,880.9451343166697,1830.918998222592,39.7323948033154,21.936257509333252,0.8786988232284756,1.0,-8961666.312208625,3248378.7471764386,0.0,0.0,0.0,0.0,-0.9303205506713096,0.0
1.5709127911627294,-0.7971561894267798,0.953861465677619,0.5074989039916545,0.1725712613761425,30.227390740066767,26.88357182778418,38.01729952916503,0.4843766065239907,0.2509173554778099,4.213641409665346,1.355700540214777,0.1432774569094181,0.1146734147518873,76.53678148,850.3755474667606,2070.660712024167,42.77391279116273,25.000284632055536,1.7538614656907257,1.0,0.2400857768803446,-0.2381453211787622,0.0087297950979602,0.0060662910263202,0.00266350407164,27.501879962387843,-0.5932938850820522,0.0
-0.149679152548313,1.9952752936184408,0.3247120101004839,0.5908661047462374,0.1910741326957941,29.50678252056241,30.18600605428219,35.2633496876806,1.9965681927204133,1.368217415124178,2.8945428886413573,2.92177294832468,0.1087800978124141,0.0967396014556288,75.095565042,913.7922173197574,2033.2732529495593,41.05332084745169,23.23909974463075,1.124712010100481,1.0,0.214953091231163,-0.2323619595690195,0.0084165855484859,0.0060334080290213,0.0023831775194646,25.539227278433582,-0.7505735163047109,0.0
-0.7624567880034445,0.0935479469150304,0.7000357788056135,0.4709621038287878,0.162919262945652,31.53664094861597,15.771519318223,27.40189977176487,-0.0130756823420523,2.145629062265158,1.2986874141693114,3.605762339055538,0.1201397682726383,0.1242462517879903,79.155281898,826.598316884634,1861.0642065717163,40.440543211996555,23.207468902492217,1.500035778805611,1.0,0.2521184352220154,-0.2606715585948151,0.0087035830741707,0.0060343035800122,0.0026692794941584,28.96720041315125,-0.8344059112058266,0.0
-1.0095751641988753,0.91157168443501,0.2887694779783487,0.5224440837744624,0.2071703652292489,32.753263022750616,44.22486143186688,22.02328792773187,-1.1571317827403544,0.5974000831544399,1.5508520946800708,3.99119651210308,0.1461757065355777,0.0929528699442744,81.588526046,883.564749685192,1927.2433620455556,40.193424835801125,22.418267286630964,1.088769477978346,1.0,0.3174776380622177,-0.3941199850825449,0.0102993999104533,0.0060409002696701,0.0042584996407831,30.82486754786514,-0.8671212748720503,0.0
0.0973743588924409,-0.333186081469059,0.6639568265527487,0.5484658341854811,0.1589958891272544,28.754576115868986,29.81028886511922,38.88519616611302,0.8515346506536008,1.4137303297817707,3.142374549895525,2.188795043945312,0.084895000308752,0.1279362777434289,73.591152232,830.759668819074,1921.504666953376,41.30037435889244,24.08015554388546,1.4639568265527458,1.0,0.2171040914919981,-0.2209601625288699,0.0083417281239448,0.0060402314983291,0.0023014966256157,26.026272765807654,-0.7153467303329113,0.0
1.3257492834031583,1.333550184175372,0.0582429934293031,0.4841413171961903,0.1373790162056684,31.44435991253704,33.12001875601709,34.325093008577824,2.3481625104248525,2.546674410760403,3.96586756491661,1.739791895121336,0.1280636240541935,0.0833910897560417,78.970719826,860.6198871597155,2076.0154039963923,42.52874928340316,24.944653352339927,0.8582429934293003,1.0,0.1601547880446572,-0.1462467154375096,0.0072151855834655,0.0060884833232854,0.00112670226018,22.196904874029933,-0.5529279119402692,0.0
-1.225506523877382,0.3700445416867732,0.9335458111017942,0.5870630000252277,0.1892632864415645,33.570749294012785,18.470288878306743,28.6960610114038,0.3541444102227689,-0.5352999242544174,0.4949505784511566,4.440566013425588,0.1017668198049068,0.1124969071894884,83.223498588,920.2690030484094,1902.6728419667431,39.97749347612262,21.62672736439137,1.7335458111049178,1.0,0.3288844697362512,-0.3957743388831761,0.0106080214927297,0.0060333520743254,0.0045746694184043,31.00337513094715,-0.8963731456687292,0.0
-2.0012524670660494,1.812349449053407,0.5770302964374423,0.5669004048686475,0.1777230116724968,32.31858004629612,34.88201905041933,31.66505360789597,1.8876389721333984,2.020570962637663,3.4615330331921577,4.800248517513275,0.1313576882332563,0.1231599445175379,80.719160092,908.6476389946138,1890.9214620458704,39.20174753293395,21.47594569109975,1.377030296521518,1.0,0.1989346417347079,-0.2275585317229866,0.0078589663664291,0.0061022032957584,0.0017567630706707,25.31307966712888,-1.0140959280598374,0.0
1.1046881282031538,-0.088644771695137,0.4518676465377211,0.4618234301917255,0.145798534527421,29.1930986745283,20.46927485615015,30.50910483859479,-0.1188304340541361,0.9932751869261264,0.9904939764142036,1.4774013150930403,0.1175621780008077,0.1010479928646236,74.46819735,809.5953446586285,1995.9047887295,42.307688128203154,25.43925341445237,1.2518676465377183,1.0,0.2612682372226189,-0.2542281228409396,0.0091769339383787,0.0060048134303855,0.0031721205079932,28.47010112276946,-0.5826017796282521,0.0
0.3184528590440751,1.20289685498178,0.8310170946642756,0.5287474826909602,0.1680806241929531,30.127443219535053,38.71103008277714,24.70150412246585,-0.6154275378286838,0.1259751868844032,2.0483620286881923,3.051774511903524,0.1544808047264814,0.1081187389511615,76.33688644,881.5043923073549,2038.5850540915765,41.521452859044075,23.68481096274877,1.6310170946642728,1.0,0.2977888613243517,-0.3339575388495286,0.0102950228993158,0.0060250745527763,0.0042699483465395,28.925517139368424,-0.6876012347797082,0.0
