n_steps,success,elapsed_s,elapsed_mmss,cl,cd,cm,ld,cl_mean,cd_mean,ld_mean,cd_total_outer_profile,ld_total_outer_profile,cd_total_transition_outer_profile,ld_total_transition_outer_profile,cl_rel_error_vs_250_%,cd_rel_error_vs_250_%,cm_rel_error_vs_250_%,ld_rel_error_vs_250_%,cl_mean_rel_error_vs_250_%,cd_mean_rel_error_vs_250_%,ld_mean_rel_error_vs_250_%,ld_total_outer_profile_rel_error_vs_250_%,ld_total_transition_outer_profile_rel_error_vs_250_%
20,1,7.5727172089973465,0:08,0.34004551706882064,-0.18749529990573452,-0.21481031662480082,-1.8136215533924451,0.15244870566232924,-0.199509581793661,-0.8400084966696927,-0.16939874775257677,-2.0073673600320228,-0.14785348887865038,-2.299881589861639,73.17110468614544,30.059727389751824,32.05010313999884,147.59855548628656,66.42169260688141,9.745352857507852,265.09710695130474,155.54950118630185,167.55370813248717
30,1,10.231432625005255,0:10,-1.1344044823881159,-0.14830961805404844,0.8243186784043492,7.648893559787236,-0.03330887717460683,-0.19334697343726379,0.2853125281940483,-0.13021306590089068,8.711909780632515,-0.1086678070269643,10.439195502552382,677.7052409613358,44.676932581046096,606.7324894532298,1144.23935243224,136.3618680404616,12.533209148336262,43.9240517583452,1209.0766160436067,1314.430116289553
40,1,12.689073333021952,0:13,-0.12106896454981854,-0.31087289137588053,-0.009426405216405403,0.3894484463215303,0.02339317028850698,-0.20327767043093736,0.01865359785870681,-0.2927763392227228,0.4135203168098845,-0.2712310803487964,0.44636833062835896,161.65541164907253,15.963092306294987,94.2053165759263,153.1681334318174,74.46268252695077,8.040735428602897,96.33378108326859,152.64353341357594,151.927674267661
50,1,15.540449708991218,0:16,1.5769095275855673,-0.1521017336737353,-1.1716439787491104,-10.367465836833297,0.399284215077904,-0.24262185060610966,-1.9802998141722903,-0.13400518152057755,-11.767526521677226,-0.11245992264665117,-14.021968808748106,703.0547417181026,43.2623819211425,620.243378754538,1315.383248203981,335.881397718517,9.757883900334196,489.21245619806064,1398.0743398972177,1531.2273495455597
60,1,19.24725454201689,0:19,0.22965364169117022,-0.23151140467273124,-0.31685976487153844,-0.9919755012320574,0.5780433727948807,-0.238439554619326,-2.914942602201578,-0.21341485251957348,-1.0760902485458803,-0.1918695936456471,-1.1969256687711776,16.953092543806086,13.640657854714165,94.78284511485916,35.42610404216736,531.0250787815365,7.865886307341332,672.9091937290541,36.992526491492036,39.24277773707098
80,1,26.9788527500059,0:27,-0.7114844302524431,-0.17993307725832627,0.32493728657362525,3.9541614087496506,0.1994270134858064,-0.22442920836997454,-0.9963677210996661,-0.16183652510516852,4.396315539956689,-0.14029126623124213,5.0714805658657545,462.32956639411486,32.880618973514395,299.74833090081046,639.8285276962521,117.70588993622668,1.5278505813823715,295.8282908629946,659.6764526825807,689.9840396569537
100,1,35.70692270799191,0:36,0.17747490488712775,-0.2550535799700002,-0.17360640688353632,-0.695833812283688,0.24136581473323196,-0.24691163828426657,-1.1618783067075862,-0.23695702781684247,-0.7489750632098076,-0.21541176894291608,-0.8238867623530747,9.619378022406185,4.858858209832059,6.720870277274241,5.0036395643362965,163.4886747698327,11.698508855423768,328.3581033137235,4.6511328144780135,4.154214147131084
120,1,46.941149207996204,0:47,0.05189627553754468,-0.23736257901676416,-0.04956998595133286,-0.21863714049837404,0.10842504689409849,-0.22862431541154823,-0.4901309233169182,-0.2192660268636064,-0.23668178914842358,-0.19772076798968002,-0.262472556955946,73.57137526352285,11.458028589247245,69.527898564784,70.1513030313355,18.362958522350926,3.42564367161002,196.33140353675967,69.8690362506461,69.46559935687664
160,1,80.96718874998624,1:21,0.14489316026904206,-0.15628780481192772,-0.1311371991705638,-0.9270919150947341,0.3199486867065929,-0.1760945045509837,-1.642863533670614,-0.13819125265876997,-1.0484973359842162,-0.11664599378484358,-1.2421614799416179,26.211911741866643,41.70087634357194,19.386177777439997,26.56809164574377,249.27421494151412,20.337924479144043,422.8919916883524,33.47978877252365,44.505226496339674
200,1,143.28586133298813,2:23,-0.19532707220568277,-0.2071421249871905,0.011975616494525968,0.9429616125535142,0.2562464934949369,-0.21163816294748253,-1.106854433629401,-0.18904557283403275,1.0332274344089754,-0.16750031396010637,1.1661295885821676,199.47199175139502,22.730987400996156,107.36175719171511,228.7346484775417,179.733271507489,4.258594765310679,317.54359096714626,231.53584178583233,235.66015614175194
220,1,203.97714404098224,3:24,0.9768879485162675,-0.22281336265145807,-0.7206829068149176,-4.384332864471828,0.3305307250353501,-0.23294384020817033,-1.3721055319695086,-0.20471681049830032,-4.7718990254802645,-0.18317155162437393,-5.333185966123992,397.48859110795723,16.885237481238622,343.02458872292675,498.55623240896557,260.8261708748326,5.379721179253611,369.67662191293647,507.49040756218534,520.429194131885
250,1,294.1646469999978,4:54,0.19636388974079577,-0.2680791665634161,-0.16267334255472715,-0.7324847068798405,0.09160386682428538,-0.2210518661478776,0.508796618051855,-0.24998261441025837,-0.7855101851944538,-0.228437355536332,-0.8595962305716893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
