GROUP,inputs,inputs,inputs,inputs,inputs,inputs,inputs,inputs,inputs,inputs,inputs,inputs,inputs,inputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs,outputs
VARIABLE,cta_delta_c0_m,cta_delta_c3_m,cta_delta_c5_m,cta_taper_ratio_midwing,cta_rspan_midwing,cta_span_wing_m,cta_sweep_midwing_deg,cta_sweep_outwing_deg,cta_twist_s4_deg,cta_twist_s4a_deg,cta_twist_s4b_deg,cta_twist_s5_deg,cta_thickness_s4,cta_thickness_s5,-cta_geometry_valid,cta_all_boxes_fit,cta_box_01_payload_cabin_floor_clearance_volume_m3,cta_box_01_payload_cabin_floor_fits,cta_box_01_payload_cabin_floor_footprint_area_m2,cta_box_01_payload_cabin_floor_margin_m,cta_box_02_payload_door_ceiling_clearance_volume_m3,cta_box_02_payload_door_ceiling_fits,cta_box_02_payload_door_ceiling_footprint_area_m2,cta_box_02_payload_door_ceiling_margin_m,cta_box_03_payload_cabin_aisle_ceiling_clearance_volume_m3,cta_box_03_payload_cabin_aisle_ceiling_fits,cta_box_03_payload_cabin_aisle_ceiling_footprint_area_m2,cta_box_03_payload_cabin_aisle_ceiling_margin_m,cta_box_04_payload_cabin_seat_ceiling_clearance_volume_m3,cta_box_04_payload_cabin_seat_ceiling_fits,cta_box_04_payload_cabin_seat_ceiling_footprint_area_m2,cta_box_04_payload_cabin_seat_ceiling_margin_m,cta_box_05_payload_cargo_1_floor_clearance_volume_m3,cta_box_05_payload_cargo_1_floor_fits,cta_box_05_payload_cargo_1_floor_footprint_area_m2,cta_box_05_payload_cargo_1_floor_margin_m,cta_box_06_payload_cargo_2_floor_clearance_volume_m3,cta_box_06_payload_cargo_2_floor_fits,cta_box_06_payload_cargo_2_floor_footprint_area_m2,cta_box_06_payload_cargo_2_floor_margin_m,cta_box_07_payload_cargo_2_ceiling_clearance_volume_m3,cta_box_07_payload_cargo_2_ceiling_fits,cta_box_07_payload_cargo_2_ceiling_footprint_area_m2,cta_box_07_payload_cargo_2_ceiling_margin_m,cta_box_08_landinggear_nlg_clearance_volume_m3,cta_box_08_landinggear_nlg_fits,cta_box_08_landinggear_nlg_footprint_area_m2,cta_box_08_landinggear_nlg_margin_m,cta_box_09_landinggear_mlg_1_clearance_volume_m3,cta_box_09_landinggear_mlg_1_fits,cta_box_09_landinggear_mlg_1_footprint_area_m2,cta_box_09_landinggear_mlg_1_margin_m,cta_box_10_landinggear_mlg_2_clearance_volume_m3,cta_box_10_landinggear_mlg_2_fits,cta_box_10_landinggear_mlg_2_footprint_area_m2,cta_box_10_landinggear_mlg_2_margin_m,cta_geometry_failure_code,cta_internal_boxes_min_margin_m,cta_packaging_min_margin_m,cta_packaging_valid,cta_wing.enclosed_volume_m3,cta_wing.mean_aerodynamic_chord_m,cta_wing.planform_area_m2,cta_wing.root_chord_m,cta_wing.span_m,cta_wing.tip_chord_m
COMPONENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,0.0,0.0,0.5578,0.142,31.4585,34.6,24.7,0.4830000000000001,1.3809999999999998,2.279,3.177,0.1027,0.095,-0.0,0.0,170.25425211808303,0.0,174.6116,-0.47694359496302935,97.73075292880912,0.0,157.86862500000007,-0.5987010647329303,88.42288779535126,0.0,135.12392999999997,-0.0953757405542568,74.81187178819192,0.0,88.58953600000001,-0.548334249008219,8.761485452494538,0.0,44.634075,-0.5692932724684174,5.596047623607023,1.0,11.34662999999999,0.1295092883682425,3.0356766059204614,1.0,11.34662999999999,0.01740814317768624,0.061503177544920254,0.0,1.091415,-0.05122485719711767,0.03718001506707259,0.0,12.134832000000017,-0.16758546841749178,-4.153381968932934,0.0,12.134832000000017,-0.7284038101055077,2.0,-0.7284038101055077,-0.7284038101055077,0.0,1925.4690692506967,23.73850003297025,845.2577127880719,41.203,78.999,0.7999999999999972
