n_steps,success,elapsed_s,elapsed_mmss,cl,cd,cm,ld,cl_mean,cd_mean,ld_mean,cd_total_outer_profile,ld_total_outer_profile,cd_total_transition_outer_profile,ld_total_transition_outer_profile,cl_rel_error_vs_250_%,cd_rel_error_vs_250_%,cm_rel_error_vs_250_%,ld_rel_error_vs_250_%,cl_mean_rel_error_vs_250_%,cd_mean_rel_error_vs_250_%,ld_mean_rel_error_vs_250_%,ld_total_outer_profile_rel_error_vs_250_%,ld_total_transition_outer_profile_rel_error_vs_250_%
20,1,8.156082332978258,0:08,0.4109534015121758,0.10467230817000757,-0.4985904738027639,3.926094768491299,0.37760698765161455,0.08590868257151789,16.861864146642223,0.12276886032316531,3.347374899713334,0.1443141191970917,2.8476312906773265,7.130018037486895,40.23440269297918,7.906037832467036,55.39036861864246,14.67781343175489,50.92598950804971,566.9802896719578,46.17464864877363,38.21657185536319
30,1,10.560489458992379,0:11,0.4277429122590716,0.123073900832217,-0.5239181252771277,3.475496505487388,0.39462026237473713,0.10905637112198045,3.6235799942055467,0.14117045298537476,3.0299747802281662,0.16271571185930114,2.628774488777931,3.335812771181457,29.727495984939605,3.227802087443085,37.556201509628906,10.833578956405749,37.70322928420232,43.33269519704948,32.31427975170254,27.593835342811484
40,1,13.571243958984269,0:14,0.44582300674198877,0.133356959180225,-0.5466140224396036,3.343080177311798,0.43159544179470793,0.12169169230319281,3.5529423093487424,0.15145351133338275,2.9436293871103034,0.17299877020730914,2.577029918812411,0.7500471884405202,23.856094703585782,0.9643259303619887,32.31531374210337,2.478852322544432,30.48549685419119,40.538582808418376,28.543710909077618,25.08228930938417
50,1,16.491348792013014,0:16,0.4588179977223985,0.13922025845027308,-0.5630797350185693,3.295626676962964,0.4475660298846426,0.13216591963844798,3.392546353887429,0.15731681060343083,2.916522372672564,0.17886206947735722,2.565205686499573,3.6867416494496625,20.508279133348346,4.005685103839925,30.43715813296513,1.1297818955045085,24.502255966781746,34.19403276902663,27.359989805208098,24.508372011715633
60,1,20.036518542008707,0:20,0.45342185277652,0.14884784598228382,-0.5570154218610528,3.046210375328422,0.4526187720267588,0.1414985537862926,3.201460866600333,0.16694439813544157,2.716005195985432,0.18848965700936796,2.4055529622720084,2.4672849374555224,15.011137343547624,2.8855541429717655,20.565544395688153,2.2714742418564846,19.171132588098917,26.63554145665092,18.603716985932394,16.759246518416614
80,1,31.172451833990635,0:31,0.45710041851812044,0.1572560426494501,-0.5607506965501737,2.906727212620207,0.45608472163302594,0.15351547716901998,2.972425140676075,0.17535259480260784,2.6067502396110678,0.19689785367653423,2.32151041762522,3.2985916812694738,10.210241052315514,3.575491604635599,15.044959349379516,3.054622882143025,12.30665036682877,17.575907628880532,13.832723195387018,12.680041303503616
100,1,55.77574216600624,0:56,0.45119539388559804,0.16492864214944097,-0.5530667298627077,2.735700652144897,0.4533168411458613,0.16180980250916327,2.8020257263639254,0.18302519430259873,2.4652092057863295,0.2045704531765251,2.2055745924180887,1.9641349543203401,5.829354645667055,2.156196663007773,8.275922471023835,2.429206449059555,7.568644887266338,10.835665285006485,7.651846685114101,7.05281970082877
120,1,91.79563666600734,1:32,0.4478890146525544,0.16917226548600003,-0.5488086282483018,2.6475321670833787,0.449688319117334,0.16719282217577427,2.68980783310687,0.1872688176391578,2.391690300066812,0.20881407651308417,2.144917728400795,1.2169373922510178,3.406338588320409,1.3696885574844144,4.786314042768444,1.6093237572418126,4.493677891029047,6.396824934968901,4.441390571126654,4.108694233667917
160,1,71.1346251660143,1:11,0.4449899535584142,0.1730733129965395,-0.5447128915794633,2.5711066937703535,0.44574595511173765,0.1723397843936439,2.5864628619288412,0.19116986514969725,2.3277201833561003,0.21271512402362364,2.0919525849464033,0.5617882913302782,1.178925830671265,0.6131706582326972,1.76148067265375,0.7185269017668682,1.5535550731621344,2.3089578869955583,1.6479152018125953,1.5379047567928021
200,1,149.7062372500077,2:30,0.4434662053524133,0.17447892081227082,-0.5426781613633328,2.5416606389350447,0.44362975593779613,0.17429188394398024,2.5453305303441875,0.19257547296542857,2.302817687650312,0.21412073183935496,2.0711035383772454,0.21744154085686665,0.37635452833449096,0.23733843240563499,0.5960392900501151,0.2403611192491199,0.43844829993479323,0.681945938813158,0.5604619976367053,0.5259465890777637
220,1,126.87758108400158,2:07,0.4428170469082332,0.17487177836259143,-0.5418287936523909,2.532238483845376,0.44306072713700706,0.17471817282039956,2.5358607587606885,0.1929683305157492,2.294765393495968,0.21451358938967557,2.064284356847118,0.07074039960828976,0.15204146443080924,0.08045288816085769,0.2231211006279516,0.11178621705895253,0.19493735124124104,0.30736392706404614,0.20883085260763562,0.19496136039338277
250,1,162.72849099998712,2:43,0.44250401779776033,0.17513806083506078,-0.5413932271648295,2.5266011036544245,0.4425659993483464,0.17505942903445737,2.5280903210701213,0.19323461298821853,2.2899832020505544,0.21477987186214492,2.0602676310458863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
